"geneSet","description","size","overlap","expect","enrichmentRatio","pValue","FDR","overlapId","userId","database"
"GO:0042326","negative regulation of phosphorylation",284,11,4.25931301403,2.58257610177192,0.00349581120187148,1,"1028;1843;1981;2889;5300;5580;6774;7128;10507;11137;152559","ENSG00000127445;ENSG00000114867;ENSG00000163291;ENSG00000163932;ENSG00000107263;ENSG00000187764;ENSG00000129757;ENSG00000168610;ENSG00000118503;ENSG00000136045;ENSG00000120129","geneontology_Biological_Process_noRedundant"
"GO:0048285","organelle fission",322,11,4.82922109337204,2.27780004007213,0.00883035399061249,1,"995;1028;1843;5119;5300;11022;23332;51433;51547;63979;64423","ENSG00000182134;ENSG00000127445;ENSG00000203485;ENSG00000187531;ENSG00000132436;ENSG00000129757;ENSG00000074054;ENSG00000131165;ENSG00000089053;ENSG00000120129;ENSG00000158402","geneontology_Biological_Process_noRedundant"
"GO:0032623","interleukin-2 production",29,3,0.43492985002419,6.89766407119021,0.00905270959760474,1,"7128;9308;9455","ENSG00000103942;ENSG00000118503;ENSG00000112149","geneontology_Biological_Process_noRedundant"
"GO:0007631","feeding behavior",32,3,0.47992259313014,6.25100806451613,0.0118951322785024,1,"2353;6774;79924","ENSG00000128165;ENSG00000170345;ENSG00000168610","geneontology_Biological_Process_noRedundant"
"GO:0010171","body morphogenesis",33,3,0.494920174165457,6.06158357771261,0.0129437840266486,1,"4621;7473;23332","ENSG00000108379;ENSG00000074054;ENSG00000109063","geneontology_Biological_Process_noRedundant"
"GO:0035249","synaptic transmission, glutamatergic",34,3,0.509917755200774,5.88330170777989,0.0140436884056256,1,"6509;9456;149111","ENSG00000152413;ENSG00000143786;ENSG00000115902","geneontology_Biological_Process_noRedundant"
"GO:0007215","glutamate receptor signaling pathway",35,3,0.524915336236091,5.71520737327189,0.015195163325568,1,"9455;9456;149111","ENSG00000152413;ENSG00000143786;ENSG00000103942","geneontology_Biological_Process_noRedundant"
"GO:0046434","organophosphate catabolic process",137,6,2.05466860183841,2.92017894984695,0.0168318049299513,1,"5580;6774;10908;23659;55512;56623","ENSG00000103056;ENSG00000163932;ENSG00000168610;ENSG00000103066;ENSG00000032444;ENSG00000148384","geneontology_Biological_Process_noRedundant"
"GO:0016311","dephosphorylation",308,10,4.6192549588776,2.1648512777545,0.0171208541228887,1,"53;995;1843;4621;5300;5580;7531;10507;54840;56623","ENSG00000108953;ENSG00000127445;ENSG00000134575;ENSG00000163932;ENSG00000137074;ENSG00000187764;ENSG00000120129;ENSG00000158402;ENSG00000109063;ENSG00000148384","geneontology_Biological_Process_noRedundant"
"GO:0007051","spindle organization",139,6,2.08466376390905,2.8781619865398,0.0179552020994103,1,"5119;10039;10982;23332;79187;80254","ENSG00000166974;ENSG00000182923;ENSG00000074054;ENSG00000041880;ENSG00000131165;ENSG00000105255","geneontology_Biological_Process_noRedundant"
"GO:0032355","response to estradiol",68,4,1.01983551040155,3.92220113851992,0.0187744295902035,1,"1843;2101;6774;8837","ENSG00000173153;ENSG00000003402;ENSG00000168610;ENSG00000120129","geneontology_Biological_Process_noRedundant"
"GO:0034248","regulation of cellular amide metabolic process",319,10,4.78422835026609,2.090201233694,0.0213099027757749,1,"1981;5580;6774;8667;8864;26164;54915;55512;83939;84069","ENSG00000147677;ENSG00000187583;ENSG00000103056;ENSG00000114867;ENSG00000101181;ENSG00000163932;ENSG00000144895;ENSG00000168610;ENSG00000149658;ENSG00000132326","geneontology_Biological_Process_noRedundant"
"GO:0044772","mitotic cell cycle phase transition",418,12,6.26898887276246,1.91418428769872,0.022619266559212,1,"995;1028;1843;1981;4194;7324;7531;23332;23594;51433;51547;80254","ENSG00000108953;ENSG00000170142;ENSG00000114867;ENSG00000187531;ENSG00000091651;ENSG00000198625;ENSG00000129757;ENSG00000182923;ENSG00000074054;ENSG00000089053;ENSG00000120129;ENSG00000158402","geneontology_Biological_Process_noRedundant"
"GO:0031122","cytoplasmic microtubule organization",41,3,0.614900822447992,4.87883556254917,0.023198612698577,1,"23332;63979;79187","ENSG00000132436;ENSG00000074054;ENSG00000105255","geneontology_Biological_Process_noRedundant"
"GO:1901987","regulation of cell cycle phase transition",329,10,4.93420416061926,2.02666928130209,0.0257295653989609,1,"995;1028;1843;1981;4194;7324;7531;23332;51433;80254","ENSG00000108953;ENSG00000170142;ENSG00000114867;ENSG00000198625;ENSG00000129757;ENSG00000182923;ENSG00000074054;ENSG00000089053;ENSG00000120129;ENSG00000158402","geneontology_Biological_Process_noRedundant"
"GO:0032102","negative regulation of response to external stimulus",151,6,2.26463473633285,2.64943388164922,0.0257901419929301,1,"1843;5580;7128;7473;10507;23332","ENSG00000108379;ENSG00000163932;ENSG00000187764;ENSG00000074054;ENSG00000118503;ENSG00000120129","geneontology_Biological_Process_noRedundant"
