"geneSet","description","size","overlap","expect","enrichmentRatio","pValue","FDR","overlapId","userId","database"
"GO:0062012","regulation of small molecule metabolic process",225,3,0.163280116110305,18.3733333333333,0.000374318225726311,0.198517169173778,"5366;5629;7421","ENSG00000141682;ENSG00000111424;ENSG00000117707","geneontology_Biological_Process_noRedundant"
"GO:0051090","regulation of DNA-binding transcription factor activity",260,3,0.188679245283019,15.9,0.000573034636646041,0.198517169173778,"5629;28996;317761","ENSG00000179008;ENSG00000064393;ENSG00000117707","geneontology_Biological_Process_noRedundant"
"GO:0031667","response to nutrient levels",288,3,0.20899854862119,14.3541666666667,0.000773652614789011,0.198517169173778,"5366;5629;7421","ENSG00000141682;ENSG00000111424;ENSG00000117707","geneontology_Biological_Process_noRedundant"
"GO:0003158","endothelium development",69,2,0.0500725689404935,39.9420289855072,0.00100761964007967,0.198517169173778,"1901;5629","ENSG00000170989;ENSG00000117707","geneontology_Biological_Process_noRedundant"
"GO:0048771","tissue remodeling",79,2,0.0573294629898403,34.8860759493671,0.0013190279114329,0.198517169173778,"1901;7421","ENSG00000170989;ENSG00000111424","geneontology_Biological_Process_noRedundant"
"GO:0035265","organ growth",85,2,0.0616835994194485,32.4235294117647,0.00152540922473687,0.198517169173778,"1901;5629","ENSG00000170989;ENSG00000117707","geneontology_Biological_Process_noRedundant"
"GO:0001763","morphogenesis of a branching structure",90,2,0.0653120464441219,30.6222222222222,0.00170850806636369,0.198517169173778,"5629;7421","ENSG00000111424;ENSG00000117707","geneontology_Biological_Process_noRedundant"
"GO:0090596","sensory organ morphogenesis",96,2,0.06966618287373,28.7083333333333,0.00194148820707851,0.198517169173778,"5629;28996","ENSG00000064393;ENSG00000117707","geneontology_Biological_Process_noRedundant"
"GO:0042770","signal transduction in response to DNA damage",110,2,0.0798258345428157,25.0545454545455,0.00254089891315079,0.21536777618381,"5366;28996","ENSG00000141682;ENSG00000064393","geneontology_Biological_Process_noRedundant"
"GO:0031032","actomyosin structure organization",112,2,0.081277213352685,24.6071428571429,0.00263285789955758,0.21536777618381,"1901;5629","ENSG00000170989;ENSG00000117707","geneontology_Biological_Process_noRedundant"
"GO:0003007","heart morphogenesis",131,2,0.0950653120464441,21.0381679389313,0.00358445144341402,0.266552843701151,"1901;5629","ENSG00000170989;ENSG00000117707","geneontology_Biological_Process_noRedundant"
"GO:0008202","steroid metabolic process",162,2,0.117561683599419,17.0123456790123,0.00543467463340974,0.305326766436417,"5629;7421","ENSG00000111424;ENSG00000117707","geneontology_Biological_Process_noRedundant"
"GO:0048872","homeostasis of number of cells",164,2,0.119013062409289,16.8048780487805,0.00556649208437965,0.305326766436417,"5366;28996","ENSG00000141682;ENSG00000064393","geneontology_Biological_Process_noRedundant"
"GO:0048880","sensory system development",169,2,0.122641509433962,16.3076923076923,0.00590255062663181,0.305326766436417,"5629;28996","ENSG00000064393;ENSG00000117707","geneontology_Biological_Process_noRedundant"
"GO:0060537","muscle tissue development",181,2,0.131349782293179,15.2265193370166,0.00674681372312924,0.305326766436417,"1901;5629","ENSG00000170989;ENSG00000117707","geneontology_Biological_Process_noRedundant"
"GO:0072331","signal transduction by p53 class mediator",181,2,0.131349782293179,15.2265193370166,0.00674681372312924,0.305326766436417,"5366;28996","ENSG00000141682;ENSG00000064393","geneontology_Biological_Process_noRedundant"
